4631;Lapangan Usaha;2013;1;20;1;1;21956172,65;22197690,55
4632;Lapangan Usaha;2013;1;20;1;2;1244756,20;1259693,27
4633;Lapangan Usaha;2013;1;20;1;3;381008,72;385961,84
4634;Lapangan Usaha;2013;1;20;1;4;1233387,06;1250654,47
4635;Lapangan Usaha;2013;1;20;1;5;7047161,85;7152869,27
4636;Lapangan Usaha;2013;1;20;1;6;2538411,07;2579025,65
4637;Lapangan Usaha;2013;1;20;1;7;864784,45;879485,79
4638;Lapangan Usaha;2013;1;20;1;8;145105,47;147717,37
4639;Lapangan Usaha;2013;1;20;1;9;21924053,31;22340610,33
4640;Lapangan Usaha;2013;1;20;1;10;2725158,63;2779661,80
4641;Lapangan Usaha;2013;1;20;1;11;0,00;0,00
4642;Lapangan Usaha;2013;1;20;1;12;0,00;0,00
4643;Lapangan Usaha;2013;1;20;1;13;6655614,35;6808693,48
4644;Lapangan Usaha;2013;1;20;1;14;0,00;0,00
4645;Lapangan Usaha;2013;1;20;1;15;0,00;0,00
4646;Lapangan Usaha;2013;1;20;1;16;6082764,68;6240916,57
4647;Lapangan Usaha;2013;1;20;1;17;55235,62;56726,98
4648;Lapangan Usaha;2013;1;20;1;18;25011,67;25712,00
4649;Lapangan Usaha;2013;1;20;1;19;13004,09;13381,21
4650;Lapangan Usaha;2013;1;20;1;20;281634,83;290083,88
4651;Lapangan Usaha;2013;1;20;1;21;113158,64;116666,55
4652;Lapangan Usaha;2013;1;20;1;22;14300,16;14757,77
4653;Lapangan Usaha;2013;1;20;1;23;108357,71;111933,51
4654;Lapangan Usaha;2013;1;20;1;24;13777192,40;14245616,95
4655;Lapangan Usaha;2013;1;20;1;25;0,00;0,00
4656;Lapangan Usaha;2013;1;20;1;26;732996,69;759384,58
4657;Lapangan Usaha;2013;1;20;1;27;0,00;0,00
4658;Lapangan Usaha;2013;1;20;1;28;37151,89;38563,66
4659;Lapangan Usaha;2013;1;20;1;29;28587,26;29702,16
4660;Lapangan Usaha;2013;1;20;1;30;28452,53;29590,63
4661;Lapangan Usaha;2013;1;20;1;31;116129,84;120891,16
4662;Lapangan Usaha;2013;1;20;1;32;7719,90;8044,14
4663;Lapangan Usaha;2013;1;20;1;33;85235,39;88900,51
4664;Lapangan Usaha;2013;1;20;1;34;16142338,54;16852601,44
4665;Lapangan Usaha;2013;1;20;1;35;3690030,75;3856082,13
4666;Lapangan Usaha;2013;1;20;1;36;12909282,29;13503109,27
4667;Lapangan Usaha;2013;1;20;1;37;0,00;0,00
4668;Lapangan Usaha;2013;1;20;1;38;2736728,14;2868091,09
4669;Lapangan Usaha;2013;1;20;1;39;628905,21;659721,56
4670;Lapangan Usaha;2013;1;20;1;40;398936,75;418883,59
4671;Lapangan Usaha;2013;1;20;1;41;6030362,15;6337910,61
4672;Lapangan Usaha;2013;1;20;1;42;213502,97;224605,12
4673;Lapangan Usaha;2013;1;20;1;43;71084,36;74851,83
4674;Lapangan Usaha;2013;1;20;1;44;1077978,90;1136189,76
4675;Lapangan Usaha;2013;1;20;1;45;4221706,43;4453900,28
